Date,Open,High,Low,Close
06/30/2021,"0.14575%","0.14575%","0.14575%","0.14575%"
06/29/2021,"0.14488%","0.14488%","0.14488%","0.14488%"
06/28/2021,"0.14725%","0.14725%","0.14725%","0.14725%"
06/25/2021,"0.14600%","0.14600%","0.14600%","0.14600%"
06/24/2021,"0.14600%","0.14600%","0.14600%","0.14600%"
06/23/2021,"0.14725%","0.14725%","0.14725%","0.14725%"
06/22/2021,"0.13375%","0.13375%","0.13375%","0.13375%"
06/21/2021,"0.13788%","0.13788%","0.13788%","0.13788%"
06/18/2021,"0.13488%","0.13488%","0.13488%","0.13488%"
06/17/2021,"0.13450%","0.13450%","0.13450%","0.13450%"
06/16/2021,"0.12450%","0.12450%","0.12450%","0.12450%"
06/15/2021,"0.12475%","0.12475%","0.12475%","0.12475%"
06/14/2021,"0.11800%","0.11800%","0.11800%","0.11800%"
06/11/2021,"0.11888%","0.11888%","0.11888%","0.11888%"
06/10/2021,"0.11900%","0.11900%","0.11900%","0.11900%"
06/09/2021,"0.12475%","0.12475%","0.12475%","0.12475%"
06/08/2021,"0.12800%","0.12800%","0.12800%","0.12800%"
06/07/2021,"0.12313%","0.12313%","0.12313%","0.12313%"
06/04/2021,"0.12825%","0.12825%","0.12825%","0.12825%"
06/03/2021,"0.13075%","0.13075%","0.13075%","0.13075%"
06/02/2021,"0.13400%","0.13400%","0.13400%","0.13400%"
06/01/2021,"0.12850%","0.12850%","0.12850%","0.12850%"
05/28/2021,"0.13138%","0.13138%","0.13138%","0.13138%"
05/27/2021,"0.13463%","0.13463%","0.13463%","0.13463%"
05/26/2021,"0.13500%","0.13500%","0.13500%","0.13500%"
05/25/2021,"0.13850%","0.13850%","0.13850%","0.13850%"
05/24/2021,"0.14088%","0.14088%","0.14088%","0.14088%"
05/21/2021,"0.14700%","0.14700%","0.14700%","0.14700%"
05/20/2021,"0.15013%","0.15013%","0.15013%","0.15013%"
05/19/2021,"0.14925%","0.14925%","0.14925%","0.14925%"
05/18/2021,"0.15525%","0.15525%","0.15525%","0.15525%"
05/17/2021,"0.14963%","0.14963%","0.14963%","0.14963%"
05/14/2021,"0.15513%","0.15513%","0.15513%","0.15513%"
05/13/2021,"0.15588%","0.15588%","0.15588%","0.15588%"
05/12/2021,"0.15413%","0.15413%","0.15413%","0.15413%"
05/11/2021,"0.16025%","0.16025%","0.16025%","0.16025%"
05/10/2021,"0.16750%","0.16750%","0.16750%","0.16750%"
05/07/2021,"0.15988%","0.15988%","0.15988%","0.15988%"
05/06/2021,"0.16200%","0.16200%","0.16200%","0.16200%"
05/05/2021,"0.16988%","0.16988%","0.16988%","0.16988%"
05/04/2021,"0.17538%","0.17538%","0.17538%","0.17538%"
05/03/2021,"0.17638%","0.17638%","0.17638%","0.17638%"
04/30/2021,"0.17638%","0.17638%","0.17638%","0.17638%"
04/29/2021,"0.17563%","0.17563%","0.17563%","0.17563%"
04/28/2021,"0.18550%","0.18550%","0.18550%","0.18550%"
04/27/2021,"0.17713%","0.17713%","0.17713%","0.17713%"
04/26/2021,"0.18400%","0.18400%","0.18400%","0.18400%"
04/23/2021,"0.18138%","0.18138%","0.18138%","0.18138%"
04/22/2021,"0.17575%","0.17575%","0.17575%","0.17575%"
04/21/2021,"0.17288%","0.17288%","0.17288%","0.17288%"
04/20/2021,"0.18375%","0.18375%","0.18375%","0.18375%"
04/19/2021,"0.18600%","0.18600%","0.18600%","0.18600%"
04/16/2021,"0.18825%","0.18825%","0.18825%","0.18825%"
04/15/2021,"0.18975%","0.18975%","0.18975%","0.18975%"
04/14/2021,"0.18363%","0.18363%","0.18363%","0.18363%"
04/13/2021,"0.18375%","0.18375%","0.18375%","0.18375%"
04/12/2021,"0.18575%","0.18575%","0.18575%","0.18575%"
04/09/2021,"0.18750%","0.18750%","0.18750%","0.18750%"
04/08/2021,"0.18775%","0.18775%","0.18775%","0.18775%"
04/07/2021,"0.19363%","0.19363%","0.19363%","0.19363%"
04/06/2021,"0.19738%","0.19738%","0.19738%","0.19738%"
04/02/2021,"0.19975%","0.19975%","0.19975%","0.19975%"
04/01/2021,"0.19975%","0.19975%","0.19975%","0.19975%"
03/31/2021,"0.19425%","0.19425%","0.19425%","0.19425%"
03/30/2021,"0.20163%","0.20163%","0.20163%","0.20163%"
03/29/2021,"0.20250%","0.20250%","0.20250%","0.20250%"
03/26/2021,"0.19900%","0.19900%","0.19900%","0.19900%"
03/25/2021,"0.19300%","0.19300%","0.19300%","0.19300%"
03/24/2021,"0.19513%","0.19513%","0.19513%","0.19513%"
03/23/2021,"0.20063%","0.20063%","0.20063%","0.20063%"
03/22/2021,"0.19050%","0.19050%","0.19050%","0.19050%"
03/19/2021,"0.19688%","0.19688%","0.19688%","0.19688%"
03/18/2021,"0.18663%","0.18663%","0.18663%","0.18663%"
03/17/2021,"0.18963%","0.18963%","0.18963%","0.18963%"
03/16/2021,"0.19000%","0.19000%","0.19000%","0.19000%"
03/15/2021,"0.18200%","0.18200%","0.18200%","0.18200%"
03/12/2021,"0.18950%","0.18950%","0.18950%","0.18950%"
03/11/2021,"0.18388%","0.18388%","0.18388%","0.18388%"
03/10/2021,"0.18413%","0.18413%","0.18413%","0.18413%"
03/09/2021,"0.17725%","0.17725%","0.17725%","0.17725%"
03/08/2021,"0.18250%","0.18250%","0.18250%","0.18250%"
03/05/2021,"0.18538%","0.18538%","0.18538%","0.18538%"
03/04/2021,"0.17550%","0.17550%","0.17550%","0.17550%"
03/03/2021,"0.19375%","0.19375%","0.19375%","0.19375%"
03/02/2021,"0.18338%","0.18338%","0.18338%","0.18338%"
03/01/2021,"0.18425%","0.18425%","0.18425%","0.18425%"
02/26/2021,"0.18838%","0.18838%","0.18838%","0.18838%"
02/25/2021,"0.19050%","0.19050%","0.19050%","0.19050%"
02/24/2021,"0.18975%","0.18975%","0.18975%","0.18975%"
02/23/2021,"0.18750%","0.18750%","0.18750%","0.18750%"
02/22/2021,"0.17550%","0.17550%","0.17550%","0.17550%"
02/19/2021,"0.17525%","0.17525%","0.17525%","0.17525%"
02/18/2021,"0.18238%","0.18238%","0.18238%","0.18238%"
02/17/2021,"0.18138%","0.18138%","0.18138%","0.18138%"
02/16/2021,"0.18863%","0.18863%","0.18863%","0.18863%"
02/15/2021,"0.19150%","0.19150%","0.19150%","0.19150%"
02/12/2021,"0.19375%","0.19375%","0.19375%","0.19375%"
02/11/2021,"0.19763%","0.19763%","0.19763%","0.19763%"
02/10/2021,"0.20088%","0.20088%","0.20088%","0.20088%"
02/09/2021,"0.20250%","0.20250%","0.20250%","0.20250%"
02/08/2021,"0.19538%","0.19538%","0.19538%","0.19538%"
02/05/2021,"0.19088%","0.19088%","0.19088%","0.19088%"
02/04/2021,"0.19263%","0.19263%","0.19263%","0.19263%"
02/03/2021,"0.19513%","0.19513%","0.19513%","0.19513%"
02/02/2021,"0.19225%","0.19225%","0.19225%","0.19225%"
02/01/2021,"0.19550%","0.19550%","0.19550%","0.19550%"
01/29/2021,"0.20188%","0.20188%","0.20188%","0.20188%"
01/28/2021,"0.20500%","0.20500%","0.20500%","0.20500%"
01/27/2021,"0.21150%","0.21150%","0.21150%","0.21150%"
01/26/2021,"0.21850%","0.21850%","0.21850%","0.21850%"
01/25/2021,"0.21288%","0.21288%","0.21288%","0.21288%"
01/22/2021,"0.21525%","0.21525%","0.21525%","0.21525%"
01/21/2021,"0.21775%","0.21775%","0.21775%","0.21775%"
01/20/2021,"0.22238%","0.22238%","0.22238%","0.22238%"
01/19/2021,"0.22363%","0.22363%","0.22363%","0.22363%"
01/18/2021,"0.22400%","0.22400%","0.22400%","0.22400%"
01/15/2021,"0.22338%","0.22338%","0.22338%","0.22338%"
01/14/2021,"0.22563%","0.22563%","0.22563%","0.22563%"
01/13/2021,"0.24125%","0.24125%","0.24125%","0.24125%"
01/12/2021,"0.23375%","0.23375%","0.23375%","0.23375%"
01/11/2021,"0.22450%","0.22450%","0.22450%","0.22450%"
01/08/2021,"0.22438%","0.22438%","0.22438%","0.22438%"
01/07/2021,"0.22475%","0.22475%","0.22475%","0.22475%"
01/06/2021,"0.23400%","0.23400%","0.23400%","0.23400%"
01/05/2021,"0.23688%","0.23688%","0.23688%","0.23688%"
01/04/2021,"0.23725%","0.23725%","0.23725%","0.23725%"
